time_s,omega_deg_per_s
19.3000,-0.218020
19.3333,-0.221840
19.3667,-0.219390
19.4000,-0.221571
19.4333,-0.221239
19.4667,-0.225078
19.5000,-0.231129
19.5333,-0.232349
19.5667,-0.235473
19.6000,-0.238629
19.6333,-0.236042
19.6667,-0.237021
19.7000,-0.240236
19.7333,-0.230382
19.7667,-0.231238
19.8000,-0.241875
19.8333,-0.242144
19.8667,-0.245400
19.9000,-0.245750
19.9333,-0.248450
19.9667,-0.250203
20.0000,-0.253400
20.0333,-0.256706
20.0667,-0.257894
20.1000,-0.259215
20.1333,-0.264133
20.1667,-0.266427
20.2000,-0.269560
20.2333,-0.268946
20.2667,-0.270248
20.3000,-0.262179
20.3333,-0.267142
20.3667,-0.266578
20.4000,-0.269000
20.4333,-0.272948
20.4667,-0.276736
20.5000,-0.276117
20.5333,-0.275343
20.5667,-0.280898
20.6000,-0.280197
20.6333,-0.281199
20.6667,-0.277383
20.7000,-0.267985
20.7333,-0.269351
20.7667,-0.273007
20.8000,-0.289850
20.8333,-0.290064
20.8667,-0.290684
20.9000,-0.290816
20.9333,-0.290033
20.9667,-0.288402
21.0000,-0.287524
21.0333,-0.290115
21.0667,-0.290228
21.1000,-0.286322
21.1333,-0.295756
21.1667,-0.300628
21.2000,-0.312190
21.2333,-0.314257
21.2667,-0.319498
21.3000,-0.311917
21.3333,-0.313970
21.3667,-0.313246
21.4000,-0.315477
21.4333,-0.314339
21.4667,-0.316871
21.5000,-0.314148
21.5333,-0.315937
21.5667,-0.319858
21.6000,-0.324311
21.6333,-0.319534
21.6667,-0.321775
21.7000,-0.324124
21.7333,-0.332730
21.7667,-0.331601
21.8000,-0.335736
21.8333,-0.334005
21.8667,-0.337735
21.9000,-0.337074
21.9333,-0.337862
21.9667,-0.339037
22.0000,-0.345507
22.0333,-0.348645
22.0667,-0.345995
22.1000,-0.349405
22.1333,-0.347461
22.1667,-0.350826
22.2000,-0.352324
22.2333,-0.356499
22.2667,-0.355334
22.3000,-0.343777
22.3333,-0.345139
22.3667,-0.348413
22.4000,-0.361567
22.4333,-0.367196
22.4667,-0.368225
22.5000,-0.370897
22.5333,-0.372177
22.5667,-0.377295
22.6000,-0.379891
22.6333,-0.380214
22.6667,-0.379649
22.7000,-0.369855
22.7333,-0.372591
22.7667,-0.376662
22.8000,-0.390049
22.8333,-0.391402
22.8667,-0.391242
22.9000,-0.394029
22.9333,-0.398073
22.9667,-0.400627
23.0000,-0.405249
23.0333,-0.407571
23.0667,-0.406314
23.1000,-0.407935
23.1333,-0.412685
23.1667,-0.414920
23.2000,-0.430470
23.2333,-0.421814
23.2667,-0.426472
23.3000,-0.426491
23.3333,-0.428348
23.3667,-0.432346
23.4000,-0.435921
23.4333,-0.436936
23.4667,-0.433394
23.5000,-0.432041
23.5333,-0.433931
23.5667,-0.437947
23.6000,-0.440857
23.6333,-0.444978
23.6667,-0.447541
23.7000,-0.451353
23.7333,-0.453702
23.7667,-0.456785
23.8000,-0.459057
23.8333,-0.475732
23.8667,-0.473865
23.9000,-0.466069
23.9333,-0.468669
23.9667,-0.471347
24.0000,-0.478004
24.0333,-0.480117
24.0667,-0.484106
24.1000,-0.491491
24.1333,-0.495362
24.1667,-0.498244
24.2000,-0.499296
24.2333,-0.504095
24.2667,-0.505184
24.3000,-0.505261
24.3333,-0.509541
24.3667,-0.517806
24.4000,-0.531972
24.4333,-0.533825
24.4667,-0.540136
24.5000,-0.543032
24.5333,-0.551224
24.5667,-0.556542
24.6000,-0.560513
24.6333,-0.560167
24.6667,-0.563081
24.7000,-0.556424
24.7333,-0.561933
24.7667,-0.563891
24.8000,-0.588498
24.8333,-0.590529
24.8667,-0.596531
24.9000,-0.599390
24.9333,-0.601976
24.9667,-0.612586
25.0000,-0.618524
25.0333,-0.622421
25.0667,-0.628687
25.1000,-0.633086
25.1333,-0.635617
25.1667,-0.638067
25.2000,-0.646018
25.2333,-0.660602
25.2667,-0.660611
25.3000,-0.664791
25.3333,-0.656759
25.3667,-0.665078
25.4000,-0.670032
25.4333,-0.673024
25.4667,-0.676034
25.5000,-0.674896
25.5333,-0.682741
25.5667,-0.684317
25.6000,-0.683834
25.6333,-0.685018
25.6667,-0.687049
25.7000,-0.691561
25.7333,-0.694740
25.7667,-0.691944
25.8000,-0.689749
25.8333,-0.694512
25.8667,-0.695996
25.9000,-0.690150
25.9333,-0.721641
25.9667,-0.716541
26.0000,-0.728103
26.0333,-0.722520
26.0667,-0.722438
26.1000,-0.722010
26.1333,-0.725125
26.1667,-0.729004
26.2000,-0.729282
26.2333,-0.731541
26.2667,-0.734751
26.3000,-0.716123
26.3333,-0.718964
26.3667,-0.719415
26.4000,-0.744140
26.4333,-0.751371
26.4667,-0.749067
26.5000,-0.749331
26.5333,-0.749581
26.5667,-0.749827
26.6000,-0.750929
26.6333,-0.755000
26.6667,-0.757832
26.7000,-0.750592
26.7333,-0.745174
26.7667,-0.751430
26.8000,-0.783523
26.8333,-0.783254
26.8667,-0.785358
26.9000,-0.782116
26.9333,-0.784147
26.9667,-0.787534
27.0000,-0.788705
27.0333,-0.787662
27.0667,-0.785995
27.1000,-0.786879
27.1333,-0.787188
27.1667,-0.789834
27.2000,-0.799096
27.2333,-0.796837
27.2667,-0.798818
27.3000,-0.802388
27.3333,-0.823479
27.3667,-0.821093
27.4000,-0.819463
27.4333,-0.795157
27.4667,-0.801377
27.5000,-0.795936
27.5333,-0.799701
27.5667,-0.806044
